cep,logradouro,complemento,unidade,bairro,localidade,uf,estado,regiao,ibge,gia,ddd,siafi,erro
30130-110,Alameda Ezequiel Dias,,,Centro,Belo Horizonte,MG,Minas Gerais,Sudeste,3106200,,31,4123,
80020-170,Rua Doutor Claudino dos Santos,,,São Francisco,Curitiba,PR,Paraná,Sul,4106902,,41,7535,
90020-010,Rua dos Andradas,de 1402 a 1580 - lado par,,Centro Histórico,Porto Alegre,RS,Rio Grande do Sul,Sul,4314902,,51,8801,
70040-020,Quadra SBN Quadra 2,,,Asa Norte,Brasília,DF,Distrito Federal,Centro-Oeste,5300108,,61,9701,
40110-030,Vila Ferraro,,,Canela,Salvador,BA,Bahia,Nordeste,2927408,,71,3849,
50010-030,Rua Frei Vicente do Salvador,,,Santo Antônio,Recife,PE,Pernambuco,Nordeste,2611606,,81,2531,
60060-130,Rua Deputado João Lopes,,,Centro,Fortaleza,CE,Ceará,Nordeste,2304400,,85,1389,
69025-190,Travessa Nhamundá,,,Centro,Manaus,AM,Amazonas,Norte,1302603,,92,0255,
59014-150,Rua Trairi,de 761/762 a 805/806,,Petrópolis,Natal,RN,Rio Grande do Norte,Nordeste,2408102,,84,1761,
88015-120,Rua Dom Jaime Câmara,,,Centro,Florianópolis,SC,Santa Catarina,Sul,4205407,,48,8105,
78005-110,Praça Visconde de Taunay,,,Centro-Norte,Cuiabá,MT,Mato Grosso,Centro-Oeste,5103403,,65,9067,
